home_team,away_team,Tries_home,Tries_away,Conversions_home,Conversions_away,Penalties_home,Penalties_away,Drops_home,Drops_away
Bristol Bears,Leicester Tigers,3,2,2,2,2,0,0,0
Exeter Chiefs,Saracens,11,2,5,0,0,0,0,0
Bath Rugby,Newcastle Red Bulls,6,3,2,1,0,3,0,0
Gloucester Rugby,Harlequins,4,3,3,2,1,3,0,0
Sale Sharks,Northampton Saints,3,2,1,1,1,1,0,0
Newcastle Red Bulls,Gloucester Rugby,1,2,1,1,0,2,0,0
Saracens,Bath Rugby,1,4,1,1,3,1,0,0
Northampton Saints,Bristol Bears,4,4,2,2,1,3,0,0
Leicester Tigers,Sale Sharks,3,3,1,3,0,1,0,0
Harlequins,Exeter Chiefs,3,2,2,2,1,0,0,0
Gloucester Rugby,Saracens,0,3,0,3,1,1,0,0
Bristol Bears,Harlequins,2,2,1,2,3,3,0,0
Exeter Chiefs,Sale Sharks,5,0,4,0,1,0,0,0
Bath Rugby,Leicester Tigers,2,1,1,1,4,6,0,0
Newcastle Red Bulls,Northampton Saints,1,1,0,1,3,3,0,0
Sale Sharks,Gloucester Rugby,4,1,2,1,0,1,0,0
Harlequins,Newcastle Red Bulls,6,1,5,0,0,0,0,0
Northampton Saints,Bath Rugby,3,2,3,1,1,2,0,0
Saracens,Leicester Tigers,4,2,3,2,2,1,0,0
Exeter Chiefs,Bristol Bears,4,3,3,1,1,1,0,0
Gloucester Rugby,Bath Rugby,3,5,3,5,2,1,0,0
Bristol Bears,Sale Sharks,1,4,1,2,2,0,0,1
Leicester Tigers,Harlequins,3,5,2,2,2,0,0,0
Newcastle Red Bulls,Saracens,2,7,1,6,0,1,0,0
Northampton Saints,Exeter Chiefs,4,3,4,2,2,0,0,0
Bath Rugby,Bristol Bears,2,3,2,2,2,0,0,0
Sale Sharks,Newcastle Red Bulls,6,4,5,1,0,0,0,0
Leicester Tigers,Northampton Saints,2,2,2,2,4,1,0,0
Harlequins,Saracens,1,6,1,4,1,0,0,0
Exeter Chiefs,Gloucester Rugby,3,4,2,2,2,0,0,0
Northampton Saints,Harlequins,5,5,4,4,1,0,0,0
Sale Sharks,Bath Rugby,1,0,0,0,2,3,0,0
Saracens,Bristol Bears,7,4,2,4,0,1,0,0
Gloucester Rugby,Leicester Tigers,2,4,2,3,2,4,0,0
Newcastle Red Bulls,Exeter Chiefs,2,3,2,1,0,1,0,0
Harlequins,Sale Sharks,5,0,4,0,1,1,0,0
Bath Rugby,Exeter Chiefs,6,3,4,3,1,1,0,0
Bristol Bears,Gloucester Rugby,7,4,5,3,2,0,0,0
Saracens,Northampton Saints,2,2,1,1,0,2,0,0
Leicester Tigers,Newcastle Red Bulls,7,0,6,0,0,1,0,0
Newcastle Red Bulls,Bristol Bears,1,3,1,3,2,0,0,0
Sale Sharks,Saracens,3,2,2,2,1,2,0,0
Exeter Chiefs,Leicester Tigers,3,2,2,0,1,0,0,0
Gloucester Rugby,Northampton Saints,4,5,3,3,1,0,0,0
Bath Rugby,Harlequins,4,3,1,1,1,0,0,0
Bristol Bears,Exeter Chiefs,2,4,2,2,0,0,0,0
Saracens,Newcastle Red Bulls,4,1,2,1,2,4,0,0
Northampton Saints,Sale Sharks,2,2,2,2,0,0,0,1
Harlequins,Gloucester Rugby,5,3,2,2,0,0,1,0
Leicester Tigers,Bath Rugby,4,3,4,2,0,1,0,0
Sale Sharks,Bristol Bears,2,3,2,2,0,1,0,0
Newcastle Red Bulls,Harlequins,0,4,0,2,1,0,0,0
Exeter Chiefs,Northampton Saints,5,6,4,6,1,0,0,0
Leicester Tigers,Saracens,3,1,2,1,0,1,0,0
Bath Rugby,Gloucester Rugby,3,1,1,1,0,1,0,0
Northampton Saints,Newcastle Red Bulls,5,1,3,1,0,2,0,0
Saracens,Exeter Chiefs,5,3,3,2,2,1,1,0
Bristol Bears,Bath Rugby,8,5,7,3,1,2,0,0
Gloucester Rugby,Sale Sharks,4,2,3,2,2,2,0,0
Harlequins,Leicester Tigers,3,2,2,2,0,2,0,0
Saracens,Harlequins,8,1,6,1,0,0,0,0
Bath Rugby,Sale Sharks,5,3,4,3,2,1,1,0
Bristol Bears,Northampton Saints,7,3,7,3,1,0,0,0
Exeter Chiefs,Newcastle Red Bulls,4,1,1,1,1,3,0,0
Leicester Tigers,Gloucester Rugby,4,3,1,3,1,2,0,0
Gloucester Rugby,Bristol Bears,3,5,3,4,1,0,0,0
Harlequins,Bath Rugby,6,5,5,4,0,1,0,0
Newcastle Red Bulls,Leicester Tigers,1,3,1,2,2,0,0,0
Northampton Saints,Saracens,5,4,5,2,2,2,0,0
Sale Sharks,Exeter Chiefs,6,1,4,0,1,0,0,0
Exeter Chiefs,Bath Rugby,2,4,2,3,0,0,0,0
Northampton Saints,Leicester Tigers,4,2,2,2,2,1,1,0
Sale Sharks,Harlequins,5,5,3,3,2,0,0,0
Saracens,Gloucester Rugby,7,4,4,2,1,0,0,0
Bristol Bears,Newcastle Red Bulls,13,2,10,2,0,0,0,0
Harlequins,Northampton Saints,6,4,4,3,1,2,0,0
Leicester Tigers,Bristol Bears,3,3,2,3,0,0,0,0
Newcastle Red Bulls,Sale Sharks,2,5,2,5,0,0,0,0
Bath Rugby,Saracens,2,2,1,1,0,1,0,0
Gloucester Rugby,Exeter Chiefs,3,5,1,5,0,1,0,0
Northampton Saints,Gloucester Rugby,14,0,10,0,0,0,0,0
Sale Sharks,Leicester Tigers,4,3,4,2,1,1,0,0
Bristol Bears,Saracens,2,4,2,3,2,5,0,0
Exeter Chiefs,Harlequins,7,4,7,3,3,0,0,0
Newcastle Red Bulls,Bath Rugby,3,4,1,4,0,0,0,0
Bath Rugby,Northampton Saints,6,2,5,1,1,0,0,0
Gloucester Rugby,Newcastle Red Bulls,8,2,7,2,0,0,0,0
Harlequins,Bristol Bears,4,7,4,6,0,2,0,0
Leicester Tigers,Exeter Chiefs,4,3,4,2,4,1,0,0
Saracens,Sale Sharks,1,2,1,2,1,2,0,0
Newcastle Red Bulls,Bristol Bears,0,4,0,2,1,0,0,0
Bath Rugby,Northampton Saints,5,1,5,1,1,3,0,0
Exeter Chiefs,Leicester Tigers,2,2,2,2,0,0,0,1
Gloucester Rugby,Saracens,4,5,3,2,0,2,0,0
Sale Sharks,Harlequins,0,1,0,0,4,2,0,0
Bristol Bears,Gloucester Rugby,6,5,4,5,1,3,0,0
Harlequins,Newcastle Red Bulls,4,2,4,2,0,0,0,0
Saracens,Sale Sharks,4,3,2,1,7,3,0,0
Northampton Saints,Exeter Chiefs,3,3,3,3,2,1,1,0
Leicester Tigers,Bath Rugby,2,3,1,1,1,1,0,0
Northampton Saints,Harlequins,4,4,3,3,0,1,0,0
Sale Sharks,Gloucester Rugby,5,4,3,2,0,1,0,0
Bath Rugby,Bristol Bears,4,5,3,4,0,1,0,0
Newcastle Red Bulls,Leicester Tigers,1,7,1,2,1,1,0,0
Saracens,Exeter Chiefs,5,2,2,2,0,0,0,0
Sale Sharks,Newcastle Red Bulls,5,1,4,1,1,1,0,0
Exeter Chiefs,Bristol Bears,4,6,3,5,3,0,0,0
Gloucester Rugby,Bath Rugby,4,7,4,5,1,1,0,0
Leicester Tigers,Northampton Saints,3,1,3,0,1,1,0,0
Harlequins,Saracens,2,1,2,1,1,1,0,0
Newcastle Red Bulls,Exeter Chiefs,3,2,3,1,0,2,1,0
Northampton Saints,Sale Sharks,7,2,6,2,0,1,0,0
Bristol Bears,Saracens,5,4,2,4,2,3,0,0
Harlequins,Bath Rugby,3,4,3,3,1,0,0,0
Leicester Tigers,Gloucester Rugby,4,4,3,3,1,0,0,0
Bristol Bears,Northampton Saints,4,3,4,1,1,2,0,0
Gloucester Rugby,Newcastle Red Bulls,6,1,3,1,0,0,0,0
Bath Rugby,Sale Sharks,6,1,5,1,0,2,0,0
Saracens,Leicester Tigers,4,3,3,2,1,2,0,0
Exeter Chiefs,Harlequins,3,5,2,4,0,1,0,0
Harlequins,Bristol Bears,4,6,2,6,0,2,0,0
Newcastle Red Bulls,Saracens,2,2,2,1,1,0,0,0
Northampton Saints,Gloucester Rugby,2,3,2,2,1,2,0,0
Bath Rugby,Exeter Chiefs,3,2,2,1,0,1,0,0
Sale Sharks,Leicester Tigers,6,3,3,2,1,2,0,0
Gloucester Rugby,Harlequins,2,0,2,0,0,0,0,0
Leicester Tigers,Bristol Bears,4,8,2,7,0,0,0,0
Newcastle Red Bulls,Bath Rugby,2,6,1,5,1,0,0,0
Sale Sharks,Exeter Chiefs,3,1,3,1,0,1,0,0
Saracens,Northampton Saints,6,4,3,2,1,0,0,0
Bristol Bears,Sale Sharks,0,4,0,3,0,3,0,1
Bath Rugby,Saracens,9,1,8,1,0,1,0,0
Northampton Saints,Newcastle Red Bulls,9,0,8,0,0,0,0,0
Harlequins,Leicester Tigers,4,4,4,4,2,2,0,0
Exeter Chiefs,Gloucester Rugby,3,2,2,1,1,1,0,0
Newcastle Red Bulls,Harlequins,2,5,2,5,0,1,0,0
Gloucester Rugby,Sale Sharks,5,3,4,1,1,1,0,0
Leicester Tigers,Exeter Chiefs,4,2,4,1,0,1,0,0
Saracens,Bristol Bears,5,4,2,3,2,0,0,0
Northampton Saints,Bath Rugby,4,5,3,3,3,1,0,0
Sale Sharks,Bath Rugby,3,4,1,3,2,2,0,0
Exeter Chiefs,Saracens,5,3,3,2,0,1,0,0
Gloucester Rugby,Leicester Tigers,5,4,5,4,1,1,0,0
Harlequins,Northampton Saints,4,3,1,2,0,0,0,0
Bristol Bears,Newcastle Red Bulls,8,5,6,5,1,0,0,0
Northampton Saints,Leicester Tigers,0,4,0,2,0,3,0,0
Bath Rugby,Gloucester Rugby,6,4,6,3,0,0,0,0
Saracens,Harlequins,2,2,1,2,0,3,0,0
Bristol Bears,Exeter Chiefs,8,6,6,4,0,0,0,0
Newcastle Red Bulls,Sale Sharks,2,5,1,4,1,2,0,0
Exeter Chiefs,Newcastle Red Bulls,3,2,1,1,0,1,0,0
Gloucester Rugby,Bristol Bears,9,4,4,4,0,0,0,0
Leicester Tigers,Saracens,3,4,2,3,0,0,1,1
Bath Rugby,Harlequins,7,4,6,4,0,0,0,0
Sale Sharks,Northampton Saints,4,4,2,2,1,0,0,0
Bristol Bears,Leicester Tigers,3,5,2,4,0,1,0,0
Saracens,Gloucester Rugby,6,2,3,2,0,0,0,0
Exeter Chiefs,Bath Rugby,3,3,3,2,1,0,0,0
Harlequins,Sale Sharks,4,7,3,4,1,0,0,0
Newcastle Red Bulls,Northampton Saints,5,5,3,5,1,0,0,0
Leicester Tigers,Harlequins,6,1,5,1,0,0,0,0
Northampton Saints,Bristol Bears,7,5,5,3,1,0,0,0
Bath Rugby,Newcastle Red Bulls,8,3,6,2,1,0,0,0
Sale Sharks,Saracens,3,1,2,1,2,0,0,0
Gloucester Rugby,Exeter Chiefs,13,3,7,1,0,0,0,0
Saracens,Newcastle Red Bulls,11,4,10,4,0,0,0,0
Exeter Chiefs,Northampton Saints,6,2,6,2,0,0,0,0
Harlequins,Gloucester Rugby,6,3,4,2,0,0,0,0
Leicester Tigers,Sale Sharks,5,5,5,3,3,1,0,0
Bristol Bears,Bath Rugby,6,2,3,2,0,0,0,0
Northampton Saints,Saracens,3,4,3,2,0,0,0,0
Bath Rugby,Leicester Tigers,7,2,4,1,0,1,0,0
Sale Sharks,Bristol Bears,5,5,5,1,2,0,0,0
Harlequins,Exeter Chiefs,3,3,3,2,1,1,0,0
Newcastle Red Bulls,Gloucester Rugby,2,3,1,2,0,0,0,0
Exeter Chiefs,Sale Sharks,4,3,3,3,0,3,0,0
Gloucester Rugby,Northampton Saints,7,4,3,3,0,0,0,0
Leicester Tigers,Newcastle Red Bulls,6,2,6,2,0,2,0,0
Bristol Bears,Harlequins,8,4,6,3,0,0,0,0
Saracens,Bath Rugby,6,4,3,3,0,0,0,0
Sale Sharks,Gloucester Rugby,4,1,2,1,1,1,0,0
Harlequins,Bath Rugby,5,7,3,6,0,0,0,0
Newcastle Red Bulls,Saracens,2,5,2,4,1,2,0,0
Northampton Saints,Exeter Chiefs,5,5,4,4,0,0,0,0
Bristol Bears,Leicester Tigers,5,4,4,2,3,0,0,0
Bath Rugby,Sale Sharks,4,1,4,1,0,1,0,2
Exeter Chiefs,Newcastle Red Bulls,6,2,4,1,0,1,0,0
Leicester Tigers,Harlequins,4,1,3,1,1,4,0,0
Saracens,Bristol Bears,7,3,6,1,1,0,0,0
Gloucester Rugby,Northampton Saints,5,4,5,4,0,3,0,0
Sale Sharks,Newcastle Red Bulls,9,1,6,0,0,0,0,0
Bristol Bears,Exeter Chiefs,2,2,1,2,2,0,0,0
Northampton Saints,Leicester Tigers,5,2,2,2,1,4,0,0
Bath Rugby,Gloucester Rugby,5,3,5,1,1,0,0,0
Harlequins,Saracens,2,2,2,2,2,0,0,0
Gloucester Rugby,Bristol Bears,5,7,3,7,1,0,0,0
Newcastle Red Bulls,Northampton Saints,3,5,2,4,0,1,0,0
Leicester Tigers,Bath Rugby,3,3,2,1,1,1,0,0
Saracens,Sale Sharks,9,2,5,2,1,0,0,0
Exeter Chiefs,Harlequins,5,0,5,0,1,0,0,0
Northampton Saints,Saracens,7,5,4,3,0,0,0,0
Exeter Chiefs,Gloucester Rugby,5,2,4,1,2,0,0,0
Harlequins,Newcastle Red Bulls,8,2,6,2,0,0,0,0
Bath Rugby,Bristol Bears,6,2,5,1,0,1,0,0
Leicester Tigers,Sale Sharks,5,5,4,5,1,0,0,0
Newcastle Red Bulls,Leicester Tigers,2,5,2,4,1,2,0,0
Sale Sharks,Exeter Chiefs,2,3,2,3,4,2,0,0
Gloucester Rugby,Harlequins,4,2,3,1,0,1,0,0
Bristol Bears,Northampton Saints,6,2,5,1,2,0,0,0
Saracens,Bath Rugby,4,5,3,4,0,1,1,0
Leicester Tigers,Gloucester Rugby,6,2,4,2,0,0,0,0
Northampton Saints,Sale Sharks,7,3,6,3,0,0,0,0
Saracens,Exeter Chiefs,3,4,1,2,0,2,0,0
Harlequins,Bristol Bears,2,6,2,5,0,0,0,0
Newcastle Red Bulls,Bath Rugby,2,8,2,5,0,0,0,0
Sale Sharks,Harlequins,7,2,4,2,0,1,0,0
Bristol Bears,Newcastle Red Bulls,6,4,3,2,0,1,0,0
Gloucester Rugby,Saracens,3,4,3,2,0,2,0,0
Bath Rugby,Northampton Saints,3,6,3,4,0,1,0,0
Exeter Chiefs,Leicester Tigers,3,1,3,1,1,1,0,0
Bristol Bears,Sale Sharks,3,2,2,2,0,1,0,0
Newcastle Red Bulls,Gloucester Rugby,3,3,2,2,2,0,0,0
Bath Rugby,Exeter Chiefs,5,4,4,3,0,0,0,0
Northampton Saints,Harlequins,10,3,8,3,0,0,0,0
Leicester Tigers,Saracens,5,4,4,4,1,0,0,0
