"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
71;"Bruno Guimarães";"Newcastle United";38;3321;5;6;4.7;6.58;0.13;0.18
72;"Alexis Mac Allister";"Liverpool";35;2621;5;5;3.57;4.89;0.12;0.17
73;"Josko Gvardiol";"Manchester City";37;3277;5;0;4.61;2.06;0.13;0.06
74;"Darwin Núñez";"Liverpool";30;1072;5;2;6.91;1.74;0.58;0.15
75;"Jack Hinshelwood";"Brighton";26;1857;5;2;3.25;1.42;0.16;0.07
76;"Facundo Buonanotte";"Leicester";31;1498;5;2;4.36;3.35;0.26;0.2
77;"Mohammed Kudus";"West Ham";32;2634;5;3;7.22;3.73;0.25;0.13
78;"Fabian Schär";"Newcastle United";34;2938;4;0;4.2;0.39;0.13;0.01
79;"Joelinton";"Newcastle United";29;2435;4;3;4.27;2.49;0.16;0.09
80;"Kevin De Bruyne";"Manchester City";28;1706;4;7;5.54;8.93;0.29;0.47
81;"Thomas Partey";"Arsenal";35;2810;4;2;2.39;2.58;0.08;0.08
82;"Bernardo Silva";"Manchester City";33;2660;4;4;4.79;5;0.16;0.17
83;"Declan Rice";"Arsenal";35;2848;4;7;3.63;9.06;0.11;0.29
84;"Richarlison";"Tottenham";15;471;4;1;4.3;0.82;0.82;0.16
85;"Pedro Neto";"Chelsea";35;2238;4;6;4.42;6.57;0.18;0.26
86;"Rayan Ait Nouri";"Wolverhampton Wanderers";37;3180;4;7;3.61;5.46;0.1;0.15
87;"Dwight McNeil";"Everton";21;1374;4;6;1.51;6.04;0.1;0.4
88;"Ryan Sessegnon";"Fulham";16;576;4;2;2.48;1.31;0.39;0.21
89;"Lucas Paquetá";"West Ham";33;2398;4;0;5.13;2.73;0.19;0.1
90;"Stephy Mavididi";"Leicester";30;1586;4;1;3.39;2.58;0.19;0.15
91;"Sandro Tonali";"Newcastle United";36;2619;4;2;4.24;2.18;0.15;0.07
92;"Rasmus Højlund";"Manchester United";32;2032;4;0;5.87;2.14;0.26;0.09
93;"Ethan Nwaneri";"Arsenal";26;883;4;2;1.78;1.16;0.18;0.12
94;"Paul Onuachu";"Southampton";25;1015;4;1;4.89;0.52;0.43;0.05
95;"Daniel Muñoz";"Crystal Palace";37;3237;4;5;5.79;5.94;0.16;0.17
96;"Sammie Szmodics";"Ipswich";20;1025;4;0;4.51;0.19;0.4;0.02
