"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
314;"Emil Krafth";"Newcastle United";12;314;0;0;0.03;0.06;0.01;0.02
315;"Ben Mee";"Brentford";7;181;0;0;0;0;0;0
316;"Ryan Fraser";"Southampton";8;314;0;0;0.03;0.16;0.01;0.04
317;"Andrew Robertson";"Liverpool";33;2511;0;1;1.57;4.88;0.06;0.17
318;"Lucas Digne";"Aston Villa";32;2413;0;4;0.78;6.97;0.03;0.26
319;"Jefferson Lerma";"Crystal Palace";33;2274;0;1;0.9;1.39;0.04;0.05
320;"Emiliano Buendía";"Aston Villa";12;48;0;0;0.82;0.05;1.54;0.09
321;"Alphonse Areola";"West Ham";26;2263;0;0;0;0;0;0
322;"Rodri";"Manchester City";3;64;0;0;0;0.05;0;0.07
323;"Oleksandr Zinchenko";"Arsenal";15;500;0;1;0.5;0.13;0.09;0.02
324;"Issa Diop";"Fulham";21;1332;0;0;0.49;0.14;0.03;0.01
325;"Maxwel Cornet";"Southampton";2;71;0;0;0.08;0;0.1;0
326;"Ricardo Pereira";"Leicester";10;378;0;0;0.11;0;0.03;0
327;"Odsonne Edouard";"Crystal Palace,Leicester";6;131;0;0;0.33;0.11;0.22;0.07
328;"Álex Moreno";"Nottingham Forest";15;978;0;1;0.22;1.08;0.02;0.1
329;"Emiliano Martinez";"Aston Villa";37;3206;0;0;0;0.28;0;0.01
330;"Kepa";"Bournemouth";31;2790;0;0;0.07;0.03;0;0
331;"Kevin Danso";"Tottenham";10;840;0;0;0.27;0.07;0.03;0.01
332;"Wilfred Ndidi";"Leicester";28;2368;0;5;1.97;2.79;0.08;0.11
333;"Nick Pope";"Newcastle United";28;2520;0;0;0;0.08;0;0
334;"Scott McTominay";"Manchester United";2;15;0;0;0.13;0;0.76;0
335;"Aaron Ramsdale";"Southampton";30;2700;0;0;0;0;0;0
336;"Diego Carlos";"Aston Villa";10;828;0;0;0.97;0;0.11;0
337;"Ibrahim Sangare";"Nottingham Forest";13;584;0;1;0.02;0.72;0;0.11
338;"Kenny Tete";"Fulham";22;1790;0;2;1.6;0.68;0.08;0.03
339;"Philip Billing";"Bournemouth";10;152;0;0;0.36;1.4;0.21;0.83
340;"Charlie Taylor";"Southampton";8;341;0;0;0;0.06;0;0.01
341;"Lewis Dunk";"Brighton";25;2083;0;0;1.11;0.52;0.05;0.02
342;"Solly March";"Brighton";8;149;0;0;0.05;0.23;0.03;0.14
343;"Ederson";"Manchester City";26;2324;0;4;0;1.19;0;0.05
344;"Victor Lindelöf";"Manchester United";16;679;0;0;0;0.12;0;0.02
345;"Will Hughes";"Crystal Palace";33;2160;0;3;0.92;3.36;0.04;0.14
346;"Daichi Kamada";"Crystal Palace";34;1527;0;0;0.98;1.83;0.06;0.11
347;"Timothy Castagne";"Fulham";24;1627;0;1;0.36;0.87;0.02;0.05
348;"Nélson Semedo";"Wolverhampton Wanderers";34;2897;0;4;0.99;2.19;0.03;0.07
349;"Pau Torres";"Aston Villa";24;2011;0;0;0.39;0.14;0.02;0.01
350;"Boubakary Soumare";"Leicester";31;2182;0;0;0.26;0.35;0.01;0.01
351;"Joachim Andersen";"Crystal Palace,Fulham";30;2678;0;0;0.89;0.28;0.03;0.01
352;"Hamza Choudhury";"Leicester";4;125;0;0;0;0.4;0;0.29
353;"Manuel Akanji";"Manchester City";26;2017;0;0;1.01;0.42;0.05;0.02
354;"Martin Dubravka";"Newcastle United";10;900;0;0;0;0;0;0
355;"Joe Willock";"Newcastle United";32;1043;0;2;2.02;3.11;0.17;0.27
356;"Konstantinos Mavropanos";"West Ham";33;2028;0;0;1.66;0.68;0.07;0.03
357;"Jean-Clair Todibo";"West Ham";27;1833;0;0;0.28;0.03;0.01;0
358;"Willy Boly";"Nottingham Forest";6;139;0;0;0.08;0;0.05;0
359;"Matz Sels";"Nottingham Forest";38;3420;0;0;0;0.52;0;0.01
360;"Robin Olsen";"Aston Villa";4;211;0;0;0;0;0;0
361;"Arijanet Muric";"Ipswich";18;1620;0;0;0;0;0;0
362;"Mark Flekken";"Brentford";37;3275;0;2;0;0.55;0;0.02
363;"Sean Longstaff";"Newcastle United";25;758;0;0;0.41;0.21;0.05;0.02
364;"Mathias Jensen";"Brentford";24;819;0;2;0.27;1.99;0.03;0.22
365;"Sergio Reguilón";"Tottenham";4;187;0;0;0.13;0.03;0.06;0.01
366;"Oliver Skipp";"Leicester";24;1095;0;0;0.24;0.34;0.02;0.03
367;"Jason Steele";"Brighton";2;180;0;0;0;0;0;0
368;"Benoit Badiashile Mukinayi";"Chelsea";5;323;0;0;0;0;0;0
369;"Diogo Dalot";"Manchester United";33;2821;0;3;1.7;2.58;0.05;0.08
370;"Ben White";"Arsenal";17;1192;0;2;0.43;1.45;0.03;0.11
371;"Max Kilman";"West Ham";38;3348;0;1;1.71;0.93;0.05;0.02
372;"Tyler Adams";"Bournemouth";28;1965;0;3;1.41;1.51;0.06;0.07
373;"Carlos Vinicius";"Fulham";3;8;0;0;0.05;0;0.62;0
374;"Miguel Almirón";"Newcastle United";9;138;0;0;0.48;0.17;0.31;0.11
375;"James Garner";"Everton";21;1603;0;1;0.6;1.22;0.03;0.07
376;"Mark Travers";"Bournemouth";5;450;0;0;0;0;0;0
377;"Wesley Fofana";"Chelsea";14;1192;0;0;0.2;0.53;0.02;0.04
378;"Max Aarons";"Bournemouth";3;78;0;0;0;0;0;0
379;"Ben Godfrey";"Ipswich";3;165;0;0;0;0;0;0
380;"Adam Webster";"Brighton";14;888;0;0;0.38;0.38;0.04;0.04
381;"Dean Henderson";"Crystal Palace";38;3420;0;0;0.01;0.11;0;0
382;"Caoimhin Kelleher";"Liverpool";10;900;0;0;0;0;0;0
383;"Takehiro Tomiyasu";"Arsenal";1;3;0;0;0.17;0;5.01;0
384;"Igor Julio";"Brighton";13;959;0;0;0.08;0.14;0.01;0.01
385;"Billy Gilmour";"Brighton";2;94;0;0;0.08;0;0.08;0
386;"Lloyd Kelly";"Newcastle United";10;303;0;1;0.27;0.38;0.08;0.11
387;"Brandon Austin";"Tottenham";1;90;0;0;0;0;0;0
388;"Boubacar Traore";"Wolverhampton Wanderers";1;1;0;0;0;0;0;0
389;"Tyrick Mitchell";"Crystal Palace";37;3131;0;5;1.42;7.11;0.04;0.2
390;"Nicolás Domínguez";"Nottingham Forest";34;1979;0;1;1.93;1.47;0.09;0.07
391;"Guido Rodríguez";"West Ham";23;1179;0;1;0.16;0.22;0.01;0.02
392;"Sander Berge";"Fulham";31;2242;0;0;0.43;0.73;0.02;0.03
393;"Daniel Podence";"Wolverhampton Wanderers";2;36;0;0;0.04;0;0.11;0
394;"Armando Broja";"Everton";10;314;0;0;0.1;0.17;0.03;0.05
395;"Jarrad Branthwaite";"Everton";30;2510;0;1;1.38;0.65;0.05;0.02
396;"Jorge Cuenca";"Fulham";8;352;0;0;0.02;0;0;0
397;"Tommy Doyle";"Wolverhampton Wanderers";24;431;0;1;0.36;0.35;0.08;0.07
398;"Luke Thomas";"Leicester";14;1123;0;0;0.35;0.42;0.03;0.03
399;"Sven Botman";"Newcastle United";8;424;0;0;0.8;0.65;0.17;0.14
400;"Cheick Oumar Doucoure";"Crystal Palace";13;439;0;0;0.37;0.01;0.07;0
401;"Kalvin Phillips";"Ipswich";19;1247;0;0;0.46;0.32;0.03;0.02
402;"Dara O&#039;Shea";"Ipswich";35;3129;0;2;1.56;0.7;0.05;0.02
403;"Joël Veltman";"Brighton";21;1714;0;0;0.8;0.76;0.04;0.04
404;"Stefan Ortega Moreno";"Manchester City";13;1096;0;0;0;0;0;0
405;"Wataru Endo";"Liverpool";20;226;0;0;0;0.07;0;0.03
406;"Iyenoma Destiny Udogie";"Tottenham";25;1949;0;1;0.35;1.26;0.02;0.06
407;"Konstantinos Tsimikas";"Liverpool";18;819;0;1;0.56;2.6;0.06;0.29
408;"Guglielmo Vicario";"Tottenham";24;2160;0;0;0;0;0;0
409;"Conor Townsend";"Ipswich";6;326;0;1;0.04;0.8;0.01;0.22
410;"Antonee Robinson";"Fulham";36;3166;0;10;1.05;4.4;0.03;0.13
411;"Rúben Dias";"Manchester City";27;2262;0;0;1.34;0.21;0.05;0.01
412;"Vladimir Coufal";"West Ham";22;1052;0;0;0.32;0.58;0.03;0.05
413;"Malo Gusto";"Chelsea";32;1838;0;1;1.56;1.34;0.08;0.07
414;"Robert Sánchez";"Chelsea";32;2880;0;0;0;0.02;0;0
415;"Radu Dragusin";"Tottenham";16;1264;0;0;0.18;0.52;0.01;0.04
416;"Christian Walton";"Ipswich";7;630;0;0;0;0.02;0;0
417;"Filip Jorgensen";"Chelsea";6;540;0;0;0;0;0;0
418;"Jakub Moder";"Brighton";4;4;0;0;0;0.2;0;4.58
419;"Dane Scarlett";"Tottenham";3;25;0;1;0.27;0.08;0.97;0.27
420;"Valentino Livramento";"Newcastle United";37;2848;0;1;0.32;3.15;0.01;0.1
421;"Tim Iroegbunam";"Everton";18;533;0;1;0.21;0.18;0.04;0.03
422;"David Raya";"Arsenal";38;3420;0;0;0;0.09;0;0
423;"Kristoffer Ajer";"Brentford";24;1450;0;0;1.14;1.47;0.07;0.09
424;"Rico Henry";"Brentford";5;80;0;0;0;0;0;0
425;"Frank Onyeka";"Brentford";2;18;0;0;0;0;0;0
426;"Mads Roerslev";"Brentford";19;1079;0;2;0.22;2.79;0.02;0.23
427;"Armel Bella Kotchap";"Southampton";4;331;0;0;0.27;0;0.07;0
428;"Kiernan Dewsbury-Hall";"Chelsea";13;234;0;1;0.09;0.81;0.03;0.31
429;"José Sá";"Wolverhampton Wanderers";29;2610;0;0;0;0.07;0;0
430;"Jesper Lindstrom";"Everton";25;1279;0;1;2.02;2.88;0.14;0.2
431;"Yerson Mosquera";"Wolverhampton Wanderers";5;448;0;0;0.47;0.09;0.09;0.02
432;"Romeo Lavia";"Chelsea";16;830;0;1;0.15;0.72;0.02;0.08
433;"Lamare Bogarde";"Aston Villa";8;478;0;0;0.07;0.18;0.01;0.03
434;"Jeremy Sarmiento";"Brighton";1;4;0;0;0;0;0;0
435;"Micky van de Ven";"Tottenham";13;1031;0;2;0.77;1.18;0.07;0.1
436;"Paris Maghoma";"Brentford";8;89;0;0;0.04;0.11;0.04;0.11
437;"Samuel Edozie";"Southampton";2;57;0;0;0;0.08;0;0.13
438;"Conor Bradley";"Liverpool";19;736;0;2;1.14;1.92;0.14;0.23
439;"Archie Gray";"Tottenham";28;1729;0;0;0.03;0.15;0;0.01
440;"Jarell Quansah";"Liverpool";13;478;0;0;0.09;0.11;0.02;0.02
441;"Lewis Hall";"Newcastle United";27;2200;0;4;0.54;3.95;0.02;0.16
442;"Nathan Patterson";"Everton";10;332;0;1;0.07;0.42;0.02;0.11
443;"Toti";"Wolverhampton Wanderers";31;2622;0;1;0.98;0.99;0.03;0.03
444;"Chiquinho";"Wolverhampton Wanderers";1;5;0;0;0;0.02;0;0.29
445;"Leny Yoro";"Manchester United";21;1152;0;0;1.13;0.05;0.09;0
446;"Noussair Mazraoui";"Manchester United";37;2881;0;1;0.81;1.56;0.03;0.05
447;"Ryan Gravenberch";"Liverpool";37;3199;0;4;1.33;2.42;0.04;0.07
448;"Jay Stansfield";"Fulham";1;1;0;0;0;0;0;0
449;"Sepp van den Berg";"Brentford";31;2602;0;0;2.15;1.03;0.07;0.04
450;"James Hill";"Bournemouth";10;458;0;1;0.19;0.34;0.04;0.07
451;"Harry Toffolo";"Nottingham Forest";4;122;0;0;0.02;0;0.02;0
452;"Tyrell Malacia";"Manchester United";3;102;0;0;0;0.06;0;0.05
453;"Marcos Senesi";"Bournemouth";17;1117;0;0;0.65;0.24;0.05;0.02
454;"André Onana";"Manchester United";34;3060;0;0;0;0.31;0;0.01
455;"Santiago Bueno";"Wolverhampton Wanderers";29;1672;0;0;0.33;0;0.02;0
456;"Antony";"Manchester United";8;119;0;0;0.63;0.23;0.47;0.17
457;"Ryan Trevitt";"Brentford";1;1;0;0;0;0;0;0
458;"Martial Godo";"Fulham";2;16;0;0;0;0.08;0;0.47
459;"Chadi Riad";"Crystal Palace";1;90;0;0;0;0;0;0
460;"Kobbie Mainoo";"Manchester United";25;1660;0;0;0.74;2.05;0.04;0.11
461;"Divin Mubama";"Manchester City";1;26;0;0;0.06;0;0.22;0
462;"Nathan Butler-Oyedeji";"Arsenal";1;1;0;0;0.09;0;8.53;0
463;"Michael Kayode";"Brentford";12;527;0;1;0.18;0.98;0.03;0.17
464;"Mykhailo Mudryk";"Chelsea";7;133;0;0;0.12;1.08;0.08;0.73
465;"Danilo";"Nottingham Forest";8;275;0;0;0;0;0;0
466;"James Bree";"Southampton";17;1077;0;1;0.11;1.07;0.01;0.09
467;"Daniel Bentley";"Wolverhampton Wanderers";2;180;0;0;0;0;0;0
468;"Victor Kristiansen";"Leicester";30;2510;0;1;0.16;1.66;0.01;0.06
469;"Renato Veiga";"Chelsea";7;143;0;0;0.14;0;0.09;0
470;"Kaelan Casey";"West Ham";1;1;0;0;0;0;0;0
471;"Illia Zabarnyi";"Bournemouth";36;3116;0;1;1.35;0.96;0.04;0.03
472;"Samuel Amo-Ameyaw";"Southampton";2;21;0;0;0.03;0.04;0.14;0.17
473;"Marc Guiu";"Chelsea";3;60;0;0;0;0.04;0;0.06
474;"Bart Verbruggen";"Brighton";36;3240;0;1;0;0.05;0;0
475;"Chiedozie Ogbene";"Ipswich";5;237;0;0;0;0.07;0;0.03
476;"Julián Araujo";"Bournemouth";12;496;0;0;0;0.06;0;0.01
477;"Abduqodir Khusanov";"Manchester City";6;506;0;0;0.02;0.11;0;0.02
478;"Yehor Yarmolyuk";"Brentford";31;1416;0;0;0.79;1.03;0.05;0.07
479;"Ben Brereton Díaz";"Southampton";10;438;0;0;1.31;0.16;0.27;0.03
480;"Oscar Bobb";"Manchester City";3;9;0;0;0;0.09;0;0.9
481;"Edson Álvarez";"West Ham";28;1772;0;1;0.32;0.8;0.02;0.04
482;"Patrick Dorgu";"Manchester United";12;843;0;0;0.39;0.97;0.04;0.1
483;"Youssef Chermiti";"Everton";4;33;0;0;0.17;0;0.47;0
484;"Altay Bayindir";"Manchester United";4;360;0;0;0;0;0;0
485;"Kim Ji-Soo";"Brentford";3;19;0;0;0;0;0;0
486;"Alex Scott";"Bournemouth";20;764;0;0;0.7;1.22;0.08;0.14
487;"Alfie Dorrington";"Tottenham";1;9;0;0;0;0;0;0
488;"Tom King";"Wolverhampton Wanderers";1;1;0;0;0;0;0;0
489;"Lewis Orford";"West Ham";2;43;0;0;0.02;0.03;0.03;0.06
490;"Oliver Scarles";"West Ham";15;644;0;0;0.14;0.12;0.02;0.02
491;"Adam Wharton";"Crystal Palace";20;1337;0;2;0.34;3.35;0.02;0.23
492;"Joshua King";"Fulham";8;115;0;0;0.59;0.75;0.46;0.59
493;"Jayden Danns";"Liverpool";1;3;0;0;0;0;0;0
494;"Toby Collyer";"Manchester United";6;159;0;0;0.05;0.16;0.03;0.09
495;"Josh Acheampong";"Chelsea";4;172;0;0;0.17;0;0.09;0
496;"Harry Amass";"Manchester United";5;347;0;0;0.09;0.05;0.02;0.01
497;"Hákon Valdimarsson";"Brentford";2;145;0;0;0;0;0;0
498;"Mikey Moore";"Tottenham";10;351;0;1;0.16;0.67;0.04;0.17
499;"Yunus Konak";"Brentford";10;25;0;0;0.11;0;0.39;0
500;"Luke Woolfenden";"Ipswich";15;1170;0;0;0.06;0;0;0
501;"Massimo Luongo";"Ipswich";11;185;0;0;0;0;0;0
502;"Wes Burns";"Ipswich";18;962;0;1;0.41;2.2;0.04;0.21
503;"Ali Al-Hamadi";"Ipswich";11;98;0;0;0.53;0.08;0.49;0.07
504;"Marcus Harness";"Ipswich";2;37;0;0;0;0;0;0
505;"Cameron Burgess";"Ipswich";18;1538;0;2;0.93;0.38;0.05;0.02
506;"Harrison Armstrong";"Everton";3;41;0;0;0.26;0.07;0.56;0.16
507;"Joe Lumley";"Southampton";3;270;0;0;0;0;0;0
508;"Nathan Wood";"Southampton";11;780;0;0;0.29;0.02;0.03;0
509;"Eric da Silva Moreira";"Nottingham Forest";2;27;0;0;0;0;0;0
510;"Andy Irving";"West Ham";10;142;0;0;0.11;0.28;0.07;0.18
511;"Kosta Nedeljkovic";"Aston Villa";5;109;0;0;0;0;0;0
512;"Woyo Coulibaly";"Leicester";4;107;0;0;0.07;0;0.06;0
513;"Mathis Amougou";"Chelsea";1;5;0;0;0;0;0;0
514;"Albert Grønbæk";"Southampton";4;150;0;0;0.06;0.03;0.04;0.02
515;"Mads Hermansen";"Leicester";27;2388;0;0;0;0;0;0
516;"Abdul Fatawu";"Leicester";11;571;0;2;0.47;1.47;0.07;0.23
517;"Lucas Bergvall";"Tottenham";27;1187;0;1;0.61;0.72;0.05;0.05
518;"Roman Dixon";"Everton";1;90;0;0;0;0;0;0
519;"George Edmundson";"Ipswich";1;1;0;0;0;0;0;0
520;"Jack Clarke";"Ipswich";32;1151;0;4;1.3;2.67;0.1;0.21
521;"André";"Wolverhampton Wanderers";33;2538;0;0;0.3;0.81;0.01;0.03
522;"Luis Guilherme";"West Ham";12;121;0;0;0.37;0.11;0.27;0.08
523;"Asher Agbinone";"Crystal Palace";2;2;0;0;0.02;0.02;0.68;1.07
524;"Jayden Meghoma";"Brentford";1;3;0;0;0;0;0;0
525;"Morato";"Nottingham Forest";26;852;0;0;0.1;0;0.01;0
526;"Ayden Heaven";"Manchester United";4;167;0;0;0.06;0.01;0.03;0.01
527;"Carlos Forbs";"Wolverhampton Wanderers";10;210;0;0;0.15;0.04;0.06;0.02
528;"Vítezslav Jaros";"Liverpool";1;9;0;0;0;0;0;0
529;"Alfie Pond";"Wolverhampton Wanderers";1;1;0;0;0;0;0;0
530;"Will Lankshear";"Tottenham";3;6;0;0;0;0;0;0
531;"Caleb Kporha";"Crystal Palace";2;5;0;0;0;0;0;0
532;"Harry Clarke";"Ipswich";7;378;0;0;0.06;0.07;0.01;0.02
533;"Ryan Manning";"Southampton";24;1495;0;1;0.34;3.37;0.02;0.2
534;"Pedro Lima";"Wolverhampton Wanderers";3;68;0;0;0.05;0.07;0.07;0.1
535;"Jahmai Simpson-Pusey";"Manchester City";2;94;0;0;0;0;0;0
536;"Thiago";"Brentford";8;148;0;0;0.11;0.11;0.07;0.07
537;"Ronnie Edwards";"Southampton";1;7;0;0;0;0;0;0
538;"Ben Winterburn";"Bournemouth";4;17;0;0;0;0;0;0
539;"Jakub Stolarczyk";"Leicester";10;900;0;0;0;0;0;0
540;"Will Alves";"Leicester";1;1;0;0;0;0;0;0
541;"Remy Rees-Dottin";"Bournemouth";1;1;0;0;0;0;0;0
542;"Antonín Kinsky";"Tottenham";6;540;0;0;0;0.22;0;0.04
543;"Zain Silcott-Duberry";"Bournemouth";1;1;0;0;0;0;0;0
544;"Vitor Reis";"Manchester City";1;1;0;0;0;0;0;0
545;"Andrés García";"Aston Villa";7;325;0;0;0.04;0.27;0.01;0.07
546;"Welington";"Southampton";10;481;0;0;0.04;0.07;0.01;0.01
547;"Eiran Cashin";"Brighton";2;18;0;0;0;0;0;0
548;"Nasser Djiga";"Wolverhampton Wanderers";5;65;0;0;0;0;0;0
549;"Chido Obi-Martin";"Manchester United";7;145;0;0;0.56;0;0.35;0
550;"Tyler Fredricson";"Manchester United";2;170;0;0;0;0;0;0
551;"Julio Soler";"Bournemouth";3;7;0;0;0;0;0;0
552;"Shumaira Mheuka";"Chelsea";1;1;0;0;0.03;0;2.25;0
553;"Mateus Mané";"Wolverhampton Wanderers";1;1;0;0;0;0;0;0
554;"Jeremy Monga";"Leicester";7;77;0;0;0.21;0.02;0.24;0.02
555;"Jay Robinson";"Southampton";4;122;0;0;0.06;0.68;0.04;0.5
556;"Harry Howell";"Brighton";1;4;0;0;0;0;0;0
557;"Jake Evans";"Leicester";4;12;0;0;0;0;0;0
558;"Olabade Aluko";"Leicester";1;1;0;0;0;0;0;0
559;"Gustavo Nunes";"Brentford";3;8;0;0;0;0;0;0
560;"Michael Golding";"Leicester";1;1;0;0;0;0;0;0
561;"Joachim Kayi-Sanda";"Southampton";2;9;0;0;0;0;0;0
562;"Claudio Echeverri";"Manchester City";1;4;0;0;0;0;0;0
