"date","season","matchday","goalkeeper","penaltytaker","homegame","result","minute","goaldiff","gkclub","ptclub","gkage","ptage","gkexp","ptexp"
1963-08-24,"63/64",1,"Loy, Egon","Neumann, Jürgen",2,"Tor",38,0,"Eintracht Frankfurt","1.FC Kaiserslautern",32,21,1,0
1963-08-24,"63/64",1,"Schnarr, Wolfgang","Schämer, Lothar",1,"Tor",40,1,"1.FC Kaiserslautern","Eintracht Frankfurt",22,23,0,1
1963-08-24,"63/64",1,"Wabra, Roland","Schimmöller, Hans-Günther",1,"Tor",62,1,"1.FC Nürnberg","Hertha BSC",27,28,1,0
1963-08-31,"63/64",2,"Tilkowski, Hans","Stemmer, Alfons",2,"gehalten",65,0,"Borussia Dortmund","TSV 1860 München",28,29,2,1
1963-09-07,"63/64",3,"Radenkovic, Petar","Sturm, Hans",2,"Tor",67,0,"TSV 1860 München","1.FC Köln",29,28,1,2
1963-09-07,"63/64",3,"Ewert, Fritz","Auernhammer, Hans",1,"Tor",55,1,"1.FC Köln","TSV 1860 München",26,30,2,1
1963-09-07,"63/64",3,"Manglitz, Manfred","Tybussek, Helmut",1,"Tor",72,-3,"Meidericher SV","Preußen Münster",23,27,1,2
1963-09-07,"63/64",3,"Wabra, Roland","Huberts, Wilhelm",1,"Tor",82,2,"1.FC Nürnberg","Eintracht Frankfurt",27,25,1,0
1963-09-07,"63/64",3,"Danner1, Volker","Moll, Jürgen",2,"Tor",72,1,"1.FC Saarbrücken","Eintracht Braunschweig",21,23,0,2
1963-09-14,"63/64",4,"Eiteljoerge, Herbert","Reisch, Stefan",1,"Tor",2,0,"Preußen Münster","1.FC Nürnberg",28,21,2,1
1963-09-21,"63/64",5,"Strich, Horst-Dieter","Stemmer, Alfons",1,"Tor",57,0,"1.FC Kaiserslautern","TSV 1860 München",22,30,0,1
1963-09-21,"63/64",5,"Strich, Horst-Dieter","Küppers, Hans",1,"vorbei",43,0,"1.FC Kaiserslautern","TSV 1860 München",22,24,0,1
1963-10-19,"63/64",8,"Krumnow, Hans-Jürgen","Rylewicz, Burghart",1,"Tor",16,0,"Hertha BSC","Borussia Dortmund",20,27,0,2
1963-10-19,"63/64",8,"Radenkovic, Petar","Seeler, Uwe",1,"Tor",19,0,"TSV 1860 München","Hamburger SV",29,27,1,2
1963-10-26,"63/64",9,"Paul1, Manfred","Krafczyk, Dieter",1,"gehalten",16,0,"Karlsruher SC","1.FC Saarbrücken",25,22,1,0
1963-10-26,"63/64",9,"Eisenhofer, Karl","Schimmöller, Hans-Günther",1,"gehalten",88,2,"Eintracht Frankfurt","Hertha BSC",29,28,0,0
1963-10-26,"63/64",9,"Strich, Horst-Dieter","Reisch, Stefan",1,"gehalten",75,5,"1.FC Kaiserslautern","1.FC Nürnberg",22,21,0,1
1963-11-09,"63/64",10,"Mühlmann, Horst","Huberts, Wilhelm",1,"Tor",72,-2,"FC Schalke 04","Eintracht Frankfurt",23,25,1,0
1963-11-09,"63/64",10,"Eiteljoerge, Herbert","Witlatschil, Gustav",1,"Tor",44,-2,"Preußen Münster","Karlsruher SC",29,28,2,1
1963-11-09,"63/64",10,"Tillich, Wolfgang","Schütz1, Arnold",1,"vorbei",40,-1,"Hertha BSC","SV Werder Bremen",24,28,0,2
1963-11-16,"63/64",11,"Loy, Egon","Schütz1, Arnold",1,"Tor",48,-1,"Eintracht Frankfurt","SV Werder Bremen",32,28,1,2
1963-11-23,"63/64",12,"Tilkowski, Hans","Nolden, Ludwig",1,"Tor",23,2,"Borussia Dortmund","Meidericher SV",28,28,2,2
1963-11-23,"63/64",12,"Loy, Egon","Stemmer, Alfons",2,"Tor",69,3,"Eintracht Frankfurt","TSV 1860 München",32,30,1,1
1963-11-30,"63/64",13,"Jäcker, Hans","Hoffmann3, Theodor",1,"Tor",34,-1,"Eintracht Braunschweig","VfB Stuttgart",31,23,2,1
1963-11-30,"63/64",13,"Ewert, Fritz","Emmerich, Lothar",1,"gehalten",73,1,"1.FC Köln","Borussia Dortmund",26,22,2,2
1963-11-30,"63/64",13,"Manglitz, Manfred","Reisch, Stefan",1,"gehalten",24,0,"Meidericher SV","1.FC Nürnberg",23,22,1,1
1963-11-30,"63/64",13,"Manglitz, Manfred","Müller7, Heinrich",1,"Pfosten",43,-1,"Meidericher SV","1.FC Nürnberg",23,29,1,0
1963-12-07,"63/64",14,"Wabra, Roland","Moll, Jürgen",1,"Tor",79,-1,"1.FC Nürnberg","Eintracht Braunschweig",28,24,1,2
1963-12-07,"63/64",14,"Schnoor1, Horst","Rylewicz, Burghart",2,"gehalten",57,0,"Hamburger SV","Borussia Dortmund",29,27,2,2
1963-12-14,"63/64",15,"Schnarr, Wolfgang","Nolden, Ludwig",2,"Tor",75,1,"1.FC Kaiserslautern","Meidericher SV",22,28,0,2
1964-01-11,"63/64",16,"Tilkowski, Hans","Schütz1, Arnold",2,"Tor",84,2,"Borussia Dortmund","SV Werder Bremen",28,29,2,2
1964-01-11,"63/64",16,"Lambertz, Klaus","Wosab, Reinhold",1,"Pfosten",79,-2,"SV Werder Bremen","Borussia Dortmund",23,25,1,1
1964-01-18,"63/64",17,"Sawitzki, Günter","Altendorff, Hans-Joachim",1,"vorbei",75,1,"VfB Stuttgart","Hertha BSC",31,23,1,0
1964-01-25,"63/64",18,"Radenkovic, Petar","Sturm, Hans",1,"Tor",34,1,"TSV 1860 München","1.FC Köln",29,28,1,2
1964-03-26,"63/64",18,"Danner1, Volker","Moll, Jürgen",1,"gehalten",54,0,"1.FC Saarbrücken","Eintracht Braunschweig",21,24,0,2
1964-03-26,"63/64",18,"Danner1, Volker","Moll, Jürgen",1,"Tor",72,-1,"1.FC Saarbrücken","Eintracht Braunschweig",21,24,0,2
1964-02-01,"63/64",19,"Jäcker, Hans","Witlatschil, Gustav",1,"Tor",65,-2,"Eintracht Braunschweig","Karlsruher SC",31,28,2,1
1964-02-01,"63/64",19,"Kwiatkowski, Heinz","Steinmann, Heinz",1,"vorbei",63,1,"Borussia Dortmund","1.FC Saarbrücken",37,26,2,2
1964-02-01,"63/64",19,"Loy, Egon","Seeler, Uwe",2,"Pfosten",58,-1,"Eintracht Frankfurt","Hamburger SV",32,27,1,2
1964-02-01,"63/64",19,"Manglitz, Manfred","Rühl, Karl-Heinz",1,"vorbei",36,-1,"Meidericher SV","Hertha BSC",23,24,1,2
1964-02-15,"63/64",20,"Danner1, Volker","Strehl, Heinz",1,"Tor",29,0,"1.FC Saarbrücken","1.FC Nürnberg",21,25,0,1
1964-02-15,"63/64",20,"Strich, Horst-Dieter","Brunnenmeier, Rudi",2,"Tor",51,1,"1.FC Kaiserslautern","TSV 1860 München",22,23,0,1
1964-02-15,"63/64",20,"Bernard, Günter","Nolden, Ludwig",1,"Tor",70,0,"SV Werder Bremen","Meidericher SV",24,28,0,2
1964-02-15,"63/64",20,"Jäcker, Hans","Huberts, Wilhelm",2,"Tor",28,0,"Eintracht Braunschweig","Eintracht Frankfurt",31,26,2,0
1964-02-22,"63/64",21,"Schumacher1, Toni","Schütz1, Arnold",1,"Tor",45,0,"1.FC Köln","SV Werder Bremen",25,29,2,2
1964-02-22,"63/64",21,"Strich, Horst-Dieter","Bockisch, Klaus",1,"Tor",48,0,"1.FC Kaiserslautern","Preußen Münster",22,25,0,2
1964-02-22,"63/64",21,"Sawitzki, Günter","Vollmar, Heinz",1,"drüber",62,0,"VfB Stuttgart","1.FC Saarbrücken",31,27,1,0
1964-03-07,"63/64",23,"Schnarr, Wolfgang","Witlatschil, Gustav",1,"Tor",14,0,"1.FC Kaiserslautern","Karlsruher SC",22,28,0,1
1964-03-07,"63/64",23,"Jäcker, Hans","Schütz1, Arnold",1,"Tor",85,2,"Eintracht Braunschweig","SV Werder Bremen",31,29,2,2
1964-03-07,"63/64",23,"Tillich, Wolfgang","Wosab, Reinhold",2,"vorbei",12,0,"Hertha BSC","Borussia Dortmund",24,26,0,1
1964-03-14,"63/64",24,"Ewert, Fritz","Nolden, Ludwig",1,"Tor",17,-1,"1.FC Köln","Meidericher SV",27,28,2,2
1964-03-14,"63/64",24,"Manglitz, Manfred","Sturm, Hans",2,"gehalten",36,2,"Meidericher SV","1.FC Köln",24,28,1,2
1964-03-14,"63/64",24,"Wabra, Roland","Neumann, Jürgen",1,"Tor",7,0,"1.FC Nürnberg","1.FC Kaiserslautern",28,22,1,0
1964-03-14,"63/64",24,"Mühlmann, Horst","Schütz1, Arnold",1,"gehalten",89,-1,"FC Schalke 04","SV Werder Bremen",24,29,1,2
1964-04-04,"63/64",26,"Mühlmann, Horst","Beyer, Harald",1,"vorbei",70,-1,"FC Schalke 04","Hertha BSC",24,24,1,2
1964-04-04,"63/64",26,"Sawitzki, Günter","Strehl, Heinz",1,"Pfosten",18,0,"VfB Stuttgart","1.FC Nürnberg",31,25,1,1
1964-04-04,"63/64",26,"Ewert, Fritz","Kreuz1, Ernst",1,"Tor",41,0,"1.FC Köln","Hamburger SV",27,23,2,1
1964-04-04,"63/64",26,"Bernard, Günter","Huberts, Wilhelm",1,"Tor",86,-5,"SV Werder Bremen","Eintracht Frankfurt",24,26,0,0
1964-04-11,"63/64",27,"Bernard, Günter","Witlatschil, Gustav",2,"gehalten",20,0,"SV Werder Bremen","Karlsruher SC",24,28,0,1
1964-04-18,"63/64",28,"Bernard, Günter","Hesse, Werner",1,"Tor",42,0,"SV Werder Bremen","1.FC Saarbrücken",24,30,0,0
1964-04-25,"63/64",29,"Schnarr, Wolfgang","Sturm, Hans",2,"Tor",28,1,"1.FC Kaiserslautern","1.FC Köln",22,28,0,2
1964-05-11,"63/64",30,"Schnarr, Wolfgang","Nolden, Ludwig",1,"Tor",63,-1,"1.FC Kaiserslautern","Meidericher SV",23,28,0,2
1964-05-11,"63/64",30,"Bernard, Günter","Brunnenmeier, Rudi",1,"Tor",79,0,"SV Werder Bremen","TSV 1860 München",24,23,0,1
1964-08-22,"64/65",1,"Schnoor1, Horst","Arnold, Hans",2,"Tor",15,-1,"Hamburger SV","VfB Stuttgart",30,23,3,1
1964-08-29,"64/65",2,"Manglitz, Manfred","Neumann, Jürgen",2,"Tor",82,3,"Meidericher SV","1.FC Kaiserslautern",24,22,2,1
1964-08-29,"64/65",2,"Strick, Gerhard","Arnold, Hans",1,"Pfosten",31,0,"1.FC Nürnberg","VfB Stuttgart",27,23,1,1
1964-09-05,"64/65",3,"Bernard, Günter","Huberts, Wilhelm",1,"gehalten",60,2,"SV Werder Bremen","Eintracht Frankfurt",24,26,1,1
1964-09-05,"64/65",3,"Manglitz, Manfred","Moll, Jürgen",1,"gehalten",64,1,"Meidericher SV","Eintracht Braunschweig",24,24,2,3
1964-09-12,"64/65",4,"Paul1, Manfred","Schütz1, Arnold",1,"Tor",62,0,"Karlsruher SC","SV Werder Bremen",26,29,2,3
1964-09-12,"64/65",4,"Schnoor1, Horst","May, Elmar",1,"Tor",37,0,"Hamburger SV","Borussia Neunkirchen",30,25,3,0
1964-09-12,"64/65",4,"Jäcker, Hans","Herrmann, Günter",1,"vorbei",30,0,"Eintracht Braunschweig","FC Schalke 04",31,25,3,2
1964-09-12,"64/65",4,"Ewert, Fritz","Arnold, Hans",1,"gehalten",44,0,"1.FC Köln","VfB Stuttgart",27,23,3,1
1964-09-12,"64/65",4,"Strich, Horst-Dieter","Brunnenmeier, Rudi",1,"vorbei",69,0,"1.FC Kaiserslautern","TSV 1860 München",23,23,1,2
1964-09-19,"64/65",5,"Loy, Egon","Witlatschil, Gustav",2,"Tor",53,-5,"Eintracht Frankfurt","Karlsruher SC",33,28,2,2
1964-09-19,"64/65",5,"Loy, Egon","Witlatschil, Gustav",2,"Tor",84,-6,"Eintracht Frankfurt","Karlsruher SC",33,28,2,2
1964-09-19,"64/65",5,"Paul1, Manfred","Huberts, Wilhelm",1,"gehalten",87,7,"Karlsruher SC","Eintracht Frankfurt",26,26,2,1
1964-10-10,"64/65",7,"Paul1, Manfred","Reisch, Stefan",1,"Tor",40,-1,"Karlsruher SC","1.FC Nürnberg",26,22,2,2
1964-10-10,"64/65",7,"Paul1, Manfred","Strehl, Heinz",1,"Latte",69,-2,"Karlsruher SC","1.FC Nürnberg",26,26,2,2
1964-10-17,"64/65",8,"Manglitz, Manfred","Hoffmann3, Theodor",2,"Tor",58,-1,"Meidericher SV","VfB Stuttgart",24,24,2,2
1964-10-17,"64/65",8,"Jäcker, Hans","Straschitz, Hermann",2,"Latte",89,-1,"Eintracht Braunschweig","Borussia Dortmund",32,24,3,3
1964-10-24,"64/65",9,"Jäcker, Hans","Reisch, Stefan",1,"Tor",55,2,"Eintracht Braunschweig","1.FC Nürnberg",32,22,3,2
1964-10-24,"64/65",9,"Jäcker, Hans","Reisch, Stefan",1,"gehalten",35,2,"Eintracht Braunschweig","1.FC Nürnberg",32,22,3,2
1964-11-07,"64/65",10,"Podlasly, Horst","Nolden, Ludwig",1,"Tor",8,0,"Hannover 96","Meidericher SV",28,29,3,3
1964-11-07,"64/65",10,"Ewert, Fritz","Neumann, Jürgen",1,"Tor",58,2,"1.FC Köln","1.FC Kaiserslautern",27,23,3,1
1964-11-14,"64/65",11,"Strich, Horst-Dieter","Rehhagel, Otto",1,"Tor",45,-3,"1.FC Kaiserslautern","Hertha BSC",23,26,1,1
1964-11-14,"64/65",11,"Krumnow, Hans-Jürgen","Kapitulski, Helmut",2,"Tor",90,3,"Hertha BSC","1.FC Kaiserslautern",21,30,1,0
1964-11-14,"64/65",11,"Bernard, Günter","Herrmann, Günter",2,"Tor",43,1,"SV Werder Bremen","FC Schalke 04",25,25,1,2
1964-11-14,"64/65",11,"Manglitz, Manfred","Kurrat, Hoppy",1,"Pfosten",54,0,"Meidericher SV","Borussia Dortmund",24,22,2,3
1964-11-28,"64/65",13,"Strich, Horst-Dieter","Ulsaß, Lothar",1,"Tor",11,0,"1.FC Kaiserslautern","Eintracht Braunschweig",23,24,1,2
1964-11-28,"64/65",13,"Radenkovic, Petar","Herrmann, Günter",1,"gehalten",70,-1,"TSV 1860 München","FC Schalke 04",30,25,2,2
1964-12-05,"64/65",14,"Tilkowski, Hans","Höttges, Horst-Dieter",2,"Tor",37,1,"Borussia Dortmund","SV Werder Bremen",29,21,3,0
1964-12-05,"64/65",14,"Toth, Gyula","Nolden, Ludwig",1,"Tor",58,1,"FC Schalke 04","Meidericher SV",23,29,0,3
1964-12-05,"64/65",14,"Toth, Gyula","Nolden, Ludwig",1,"Tor",67,0,"FC Schalke 04","Meidericher SV",23,29,0,3
1964-12-12,"64/65",15,"Kirsch, Horst","Höller, Dieter",1,"Tor",40,0,"Borussia Neunkirchen","VfB Stuttgart",25,25,0,2
1964-12-12,"64/65",15,"Schnarr, Wolfgang","Huberts, Wilhelm",2,"Tor",84,0,"1.FC Kaiserslautern","Eintracht Frankfurt",23,26,1,1
1964-12-12,"64/65",15,"Tilkowski, Hans","Sturm, Hans",1,"Tor",55,-1,"Borussia Dortmund","1.FC Köln",29,29,3,3
1964-12-19,"64/65",16,"Schnoor1, Horst","Höller, Dieter",1,"Tor",90,3,"Hamburger SV","VfB Stuttgart",30,25,3,2
1964-12-19,"64/65",16,"Radenkovic, Petar","Ulsaß, Lothar",2,"gehalten",32,0,"TSV 1860 München","Eintracht Braunschweig",30,24,2,2
1964-12-19,"64/65",16,"Fahrian, Wolfgang","Sturm, Hans",2,"Pfosten",21,-3,"Hertha BSC","1.FC Köln",23,29,2,3
1965-01-02,"64/65",17,"Bernard, Günter","Moll, Jürgen",1,"gehalten",69,-1,"SV Werder Bremen","Eintracht Braunschweig",25,25,1,3
1965-01-09,"64/65",18,"Wabra, Roland","Rehhagel, Otto",1,"Tor",68,2,"1.FC Nürnberg","Hertha BSC",29,26,2,1
1965-01-09,"64/65",18,"Wessel, Bernhard","Höller, Dieter",1,"gehalten",77,-1,"Borussia Dortmund","VfB Stuttgart",28,25,3,2
1965-01-23,"64/65",19,"Tillich, Wolfgang","Cyliax, Gerhard",1,"Pfosten",87,-3,"Hertha BSC","Borussia Dortmund",25,30,1,3
1965-01-30,"64/65",20,"Toth, Gyula","Reisch, Stefan",2,"Tor",37,1,"FC Schalke 04","1.FC Nürnberg",23,23,0,2
1965-01-30,"64/65",20,"Toth, Gyula","Reisch, Stefan",2,"Tor",63,0,"FC Schalke 04","1.FC Nürnberg",23,23,0,2
1965-02-13,"64/65",21,"Toth, Gyula","Straschitz, Hermann",1,"Tor",27,-1,"FC Schalke 04","Borussia Dortmund",23,24,0,3
1965-02-20,"64/65",22,"Tepe, Wilfried","Rehhagel, Otto",2,"Tor",35,-3,"TSV 1860 München","Hertha BSC",24,26,0,1
1965-02-20,"64/65",22,"Jäcker, Hans","Benthaus, Helmut",2,"Tor",37,1,"Eintracht Braunschweig","1.FC Köln",32,29,3,2
1965-02-20,"64/65",22,"Toth, Gyula","Hoffmann3, Theodor",2,"Tor",75,3,"FC Schalke 04","VfB Stuttgart",23,24,0,2
1965-02-20,"64/65",22,"Sawitzki, Günter","Kreuz2, Manfred",1,"gehalten",78,-2,"VfB Stuttgart","FC Schalke 04",32,29,2,3
1965-02-27,"64/65",18,"Wolf, Erich","Brunnenmeier, Rudi",1,"Tor",57,-5,"Karlsruher SC","TSV 1860 München",24,24,1,2
1965-03-06,"64/65",23,"Manglitz, Manfred","Hoffmann3, Theodor",1,"Tor",22,-1,"Meidericher SV","VfB Stuttgart",25,24,2,2
1965-03-06,"64/65",23,"Sawitzki, Günter","Nolden, Ludwig",2,"Tor",69,1,"VfB Stuttgart","Meidericher SV",32,29,2,3
1965-03-06,"64/65",23,"Jäcker, Hans","Straschitz, Hermann",1,"Tor",72,1,"Eintracht Braunschweig","Borussia Dortmund",32,24,3,3
1965-03-06,"64/65",23,"Wessel, Bernhard","Ulsaß, Lothar",2,"Tor",67,-1,"Borussia Dortmund","Eintracht Braunschweig",28,24,3,2
1965-03-06,"64/65",23,"Loy, Egon","Overath, Wolfgang",1,"Tor",52,-1,"Eintracht Frankfurt","1.FC Köln",33,21,2,1
1965-03-06,"64/65",23,"Schumacher1, Toni","Lechner, Georg",2,"Tor",74,2,"1.FC Köln","Eintracht Frankfurt",26,23,3,0
1965-03-06,"64/65",23,"Loy, Egon","Benthaus, Helmut",1,"gehalten",34,0,"Eintracht Frankfurt","1.FC Köln",33,29,2,2
1965-03-13,"64/65",23,"Toth, Gyula","Rehhagel, Otto",1,"Tor",42,0,"FC Schalke 04","Hertha BSC",23,26,0,1
1965-03-20,"64/65",24,"Podlasly, Horst","Kreuz2, Manfred",1,"Tor",40,0,"Hannover 96","FC Schalke 04",29,29,3,3
1965-03-20,"64/65",24,"Wolf, Erich","Overath, Wolfgang",2,"Tor",10,1,"Karlsruher SC","1.FC Köln",24,21,1,1
1965-03-20,"64/65",24,"Wessel, Bernhard","Lechner, Georg",1,"gehalten",75,2,"Borussia Dortmund","Eintracht Frankfurt",28,23,3,0
1965-04-03,"64/65",26,"Fahrian, Wolfgang","Reitgaßl, Willi",1,"Tor",42,0,"Hertha BSC","1.FC Kaiserslautern",23,29,2,1
1965-04-03,"64/65",26,"Strich, Horst-Dieter","Rehhagel, Otto",2,"Tor",73,0,"1.FC Kaiserslautern","Hertha BSC",24,26,1,1
1965-04-10,"64/65",27,"Schwerin, Erhard","Straschitz, Hermann",1,"Tor",79,-1,"Hamburger SV","Borussia Dortmund",26,24,0,3
1965-04-10,"64/65",27,"Loy, Egon","May, Elmar",1,"Tor",83,-3,"Eintracht Frankfurt","Borussia Neunkirchen",34,25,2,0
1965-04-10,"64/65",27,"Paul1, Manfred","Mülhausen, Karl-Heinz",1,"gehalten",86,-1,"Karlsruher SC","Hannover 96",27,27,2,3
1965-05-08,"64/65",29,"Schnoor1, Horst","Luttrop, Otto",1,"Tor",11,1,"Hamburger SV","TSV 1860 München",31,26,3,3
1965-05-08,"64/65",29,"Loy, Egon","Ulsaß, Lothar",1,"Tor",55,0,"Eintracht Frankfurt","Eintracht Braunschweig",34,24,2,2
1965-05-08,"64/65",29,"Paul1, Manfred","Neumann, Jürgen",1,"gehalten",78,1,"Karlsruher SC","1.FC Kaiserslautern",27,23,2,1
1965-05-15,"64/65",30,"Jäcker, Hans","Wild, Horst",1,"Tor",75,0,"Eintracht Braunschweig","Karlsruher SC",32,21,3,1
1965-05-15,"64/65",30,"Jäcker, Hans","Witlatschil, Gustav",1,"gehalten",3,0,"Eintracht Braunschweig","Karlsruher SC",32,29,3,2
1965-05-15,"64/65",30,"Fahrian, Wolfgang","Laszig, Otto",1,"Tor",81,-1,"Hertha BSC","Hannover 96",24,30,2,2
1965-05-15,"64/65",30,"Ertz, Willi","Hoffmann3, Theodor",2,"Tor",68,2,"Borussia Neunkirchen","VfB Stuttgart",22,24,0,2
1965-05-15,"64/65",30,"Bernard, Günter","Müller5, Ludwig",1,"vorbei",55,1,"SV Werder Bremen","1.FC Nürnberg",25,23,1,0
1965-08-14,"65/66",1,"Orzessek, Manfred","Heiden, Günter",1,"gehalten",54,0,"Borussia Mönchengladbach","Borussia Neunkirchen",31,22,4,1
1965-08-21,"65/66",2,"Toth, Gyula","Brunnenmeier, Rudi",2,"Tor",1,0,"1.FC Nürnberg","TSV 1860 München",24,24,1,3
1965-08-21,"65/66",2,"Radenkovic, Petar","Reisch, Stefan",1,"Tor",16,1,"TSV 1860 München","1.FC Nürnberg",30,23,3,3
1965-08-27,"65/66",3,"Broden, Josef","Nolden, Ludwig",1,"Tor",63,-3,"FC Schalke 04","Meidericher SV",38,29,4,4
1965-08-28,"65/66",3,"Orzessek, Manfred","Witlatschil, Gustav",1,"Tor",42,2,"Borussia Mönchengladbach","Karlsruher SC",31,29,4,3
1965-08-28,"65/66",3,"Paul1, Manfred","Netzer, Günter",2,"gehalten",38,-2,"Karlsruher SC","Borussia Mönchengladbach",27,21,3,0
1965-08-28,"65/66",3,"Schnoor1, Horst","Wingert, Jürgen",1,"Tor",78,1,"Hamburger SV","Borussia Neunkirchen",31,21,4,0
1965-08-28,"65/66",3,"Bernard, Günter","Reitgaßl, Willi",2,"Tor",54,2,"SV Werder Bremen","1.FC Kaiserslautern",25,29,2,2
1965-08-28,"65/66",3,"Schnarr, Wolfgang","Schütz1, Arnold",1,"Tor",84,-2,"1.FC Kaiserslautern","SV Werder Bremen",24,30,2,4
1965-08-28,"65/66",3,"Maier, Sepp","Ulsaß, Lothar",1,"Tor",63,3,"FC Bayern München","Eintracht Braunschweig",21,25,0,3
1965-08-28,"65/66",3,"Ewert, Fritz","Sieloff, Klaus-Dieter",2,"Pfosten",88,2,"1.FC Köln","VfB Stuttgart",28,23,4,3
1965-08-28,"65/66",3,"Sawitzki, Günter","Sturm, Hans",1,"gehalten",80,-1,"VfB Stuttgart","1.FC Köln",32,30,3,4
1965-09-04,"65/66",4,"Sawitzki, Günter","Schütz1, Arnold",2,"Tor",71,-1,"VfB Stuttgart","SV Werder Bremen",32,30,3,4
1965-09-04,"65/66",4,"Kunter, Peter","Bandura, Jürgen",1,"gehalten",56,-1,"Eintracht Frankfurt","Hannover 96",24,25,0,4
1965-09-04,"65/66",4,"Kunter, Peter","Laszig, Otto",1,"gehalten",32,-1,"Eintracht Frankfurt","Hannover 96",24,30,0,3
1965-09-11,"65/66",5,"Tilkowski, Hans","Milder, Egon",1,"Tor",42,1,"Borussia Dortmund","Borussia Mönchengladbach",30,23,4,0
1965-09-11,"65/66",5,"Tilkowski, Hans","Netzer, Günter",1,"Tor",70,1,"Borussia Dortmund","Borussia Mönchengladbach",30,21,4,0
1965-09-11,"65/66",5,"Krätschmer, Rudolf","Emmerich, Lothar",2,"Tor",20,0,"Borussia Mönchengladbach","Borussia Dortmund",20,23,0,4
1965-09-11,"65/66",5,"Krätschmer, Rudolf","Emmerich, Lothar",2,"Tor",73,0,"Borussia Mönchengladbach","Borussia Dortmund",20,23,0,4
1965-09-11,"65/66",5,"Tilkowski, Hans","Milder, Egon",1,"Latte",78,1,"Borussia Dortmund","Borussia Mönchengladbach",30,23,4,0
1965-09-11,"65/66",5,"Podlasly, Horst","Ulsaß, Lothar",1,"Tor",83,-1,"Hannover 96","Eintracht Braunschweig",29,25,4,3
1965-09-11,"65/66",5,"Mühlmann, Horst","Sturm, Hans",1,"gehalten",53,0,"FC Schalke 04","1.FC Köln",25,30,3,4
1965-09-11,"65/66",5,"Sawitzki, Günter","Luttrop, Otto",1,"gehalten",29,0,"VfB Stuttgart","TSV 1860 München",32,26,3,4
1965-09-11,"65/66",5,"Sawitzki, Günter","Brunnenmeier, Rudi",1,"Pfosten",70,0,"VfB Stuttgart","TSV 1860 München",32,24,3,3
1965-09-18,"65/66",6,"Schnarr, Wolfgang","Ulsaß, Lothar",2,"Tor",69,0,"1.FC Kaiserslautern","Eintracht Braunschweig",24,25,2,3
1965-09-18,"65/66",6,"Manglitz, Manfred","Grosser, Peter",2,"Tor",46,-1,"Meidericher SV","TSV 1860 München",25,27,3,3
1965-09-18,"65/66",6,"Toth, Gyula","Usbeck, Wolf-Ingo",2,"gehalten",35,2,"1.FC Nürnberg","SV Tasmania Berlin",24,21,1,0
1965-10-02,"65/66",7,"Sawitzki, Günter","Ulsaß, Lothar",1,"Tor",55,0,"VfB Stuttgart","Eintracht Braunschweig",32,25,3,3
1965-10-02,"65/66",7,"Schnarr, Wolfgang","May, Elmar",1,"vorbei",40,0,"1.FC Kaiserslautern","Borussia Neunkirchen",24,26,2,1
1965-10-16,"65/66",8,"Kunter, Peter","Pott, Fritz",1,"Tor",29,0,"Eintracht Frankfurt","1.FC Köln",24,26,0,4
1965-10-16,"65/66",8,"Bernard, Günter","Grosser, Peter",2,"Tor",73,0,"SV Werder Bremen","TSV 1860 München",26,27,2,3
1965-10-16,"65/66",8,"Paul1, Manfred","Laszig, Otto",1,"Tor",77,-3,"Karlsruher SC","Hannover 96",27,30,3,3
1965-10-16,"65/66",8,"Tilkowski, Hans","Beckenbauer, Franz",1,"gehalten",58,1,"Borussia Dortmund","FC Bayern München",30,20,4,0
1965-10-20,"65/66",9,"Podlasly, Horst","Netzer, Günter",1,"Tor",51,0,"Hannover 96","Borussia Mönchengladbach",29,21,4,0
1965-10-20,"65/66",9,"Wabra, Roland","Emmerich, Lothar",1,"Latte",42,0,"1.FC Nürnberg","Borussia Dortmund",30,23,3,4
1965-10-20,"65/66",9,"Tilkowski, Hans","Flachenecker, Gustl",2,"Latte",73,1,"Borussia Dortmund","1.FC Nürnberg",30,25,4,3
1965-10-20,"65/66",9,"Orzessek, Manfred","Laszig, Otto",2,"vorbei",74,0,"Borussia Mönchengladbach","Hannover 96",31,30,4,3
1965-10-23,"65/66",10,"Paul1, Manfred","Sieloff, Klaus-Dieter",1,"Tor",53,0,"Karlsruher SC","VfB Stuttgart",27,23,3,3
1965-10-23,"65/66",10,"Kunter, Peter","Grosser, Peter",1,"Tor",63,0,"Eintracht Frankfurt","TSV 1860 München",24,27,0,3
1965-10-23,"65/66",10,"Rohloff, Heinz","Nolden, Ludwig",1,"Tor",63,0,"SV Tasmania Berlin","Meidericher SV",26,30,0,4
1965-10-23,"65/66",10,"Schnoor1, Horst","Strehl, Heinz",1,"Tor",77,-3,"Hamburger SV","1.FC Nürnberg",31,27,4,3
1965-10-30,"65/66",11,"Kirsch, Horst","Schütz1, Arnold",2,"Tor",73,1,"Borussia Neunkirchen","SV Werder Bremen",26,30,1,4
1965-10-30,"65/66",11,"Loy, Egon","Herrmann, Günter",2,"Tor",72,3,"Eintracht Frankfurt","FC Schalke 04",34,26,3,3
1965-10-30,"65/66",11,"Radenkovic, Petar","Ulsaß, Lothar",1,"Tor",67,1,"TSV 1860 München","Eintracht Braunschweig",31,25,3,3
1965-10-30,"65/66",11,"Sawitzki, Günter","Netzer, Günter",1,"Tor",2,0,"VfB Stuttgart","Borussia Mönchengladbach",33,21,3,0
