"date","season","matchday","goalkeeper","penaltytaker","homegame","result","minute","goaldiff","gkclub","ptclub","gkage","ptage","gkexp","ptexp"
2010-12-04,"10/11",15,"Wiese, Tim","Dzeko, Edin",1,"vorbei",77,0,"SV Werder Bremen","VfL Wolfsburg",29,24,8,5
2010-12-04,"10/11",15,"Nikolov, Oka","Schürrle, André",2,"Tor",42,1,"Eintracht Frankfurt","1.FSV Mainz 05",36,20,15,1
2010-12-04,"10/11",15,"Wetklo, Christian","Gekas, Theofanis",1,"Tor",84,0,"1.FSV Mainz 05","Eintracht Frankfurt",31,30,6,8
2010-12-11,"10/11",16,"Kessler2, Thomas","Lahm, Philipp",1,"Tor",71,-1,"FC St.Pauli","FC Bayern München",24,27,2,7
2010-12-12,"10/11",16,"Wetklo, Christian","Huntelaar, Klaas-Jan",2,"vorbei",8,0,"1.FSV Mainz 05","FC Schalke 04",31,27,6,8
2010-12-12,"10/11",16,"Neuer, Manuel","Schürrle, André",1,"gehalten",73,1,"FC Schalke 04","1.FSV Mainz 05",24,21,4,1
2010-12-18,"10/11",17,"Sippel, Tobias","Hunt, Aaron",1,"Tor",34,1,"1.FC Kaiserslautern","SV Werder Bremen",22,24,0,6
2010-12-18,"10/11",17,"Schäfer1, Raphael","Pinto, Sergio",2,"Tor",76,2,"1.FC Nürnberg","Hannover 96",31,30,9,11
2010-12-18,"10/11",17,"Müller10, Heinz","Lehmann3, Matthias",1,"Tor",33,2,"1.FSV Mainz 05","FC St.Pauli",32,27,7,7
2010-12-19,"10/11",17,"Baumann, Oliver","Vidal, Arturo",1,"Tor",16,0,"SC Freiburg","Bayer 04 Leverkusen",20,23,1,3
2011-01-15,"10/11",18,"Benaglio, Diego","Lahm, Philipp",2,"vorbei",21,-1,"VfL Wolfsburg","FC Bayern München",27,27,5,7
2011-01-15,"10/11",18,"Kraft2, Thomas","Grafite,",1,"gehalten",45,1,"FC Bayern München","VfL Wolfsburg",22,31,0,5
2011-01-15,"10/11",18,"Heimeroth, Christofer","Pinola, Javier",1,"gehalten",86,1,"Borussia Mönchengladbach","1.FC Nürnberg",29,27,7,7
2011-01-15,"10/11",18,"Kessler2, Thomas","Cissé, Papiss Demba",2,"gehalten",11,0,"FC St.Pauli","SC Freiburg",25,25,2,5
2011-01-29,"10/11",20,"Rost, Frank","Simons, Timmy",1,"Tor",59,0,"Hamburger SV","1.FC Nürnberg",37,34,15,10
2011-01-29,"10/11",20,"Rensing, Michael","Bruns2, Florian",1,"Tor",76,-2,"1.FC Köln","FC St.Pauli",26,31,7,11
2011-02-05,"10/11",21,"Zieler, Ron-Robert","Diego,",2,"vorbei",78,1,"Hannover 96","VfL Wolfsburg",22,26,0,6
2011-02-05,"10/11",21,"Heimeroth, Christofer","Gebhart, Timo",2,"Tor",87,0,"Borussia Mönchengladbach","VfB Stuttgart",29,21,7,2
2011-02-12,"10/11",22,"Benaglio, Diego","Petric, Mladen",2,"Tor",32,0,"VfL Wolfsburg","Hamburger SV",27,30,5,9
2011-02-25,"10/11",24,"Bailly, Logan","Diego,",1,"vorbei",29,0,"Borussia Mönchengladbach","VfL Wolfsburg",25,26,7,6
2011-02-25,"10/11",24,"Hitz, Marwin","Daems, Filip",2,"Tor",74,2,"VfL Wolfsburg","Borussia Mönchengladbach",23,32,1,10
2011-03-05,"10/11",25,"Neuer, Manuel","Kuzmanovic, Zdravko",1,"Tor",15,0,"FC Schalke 04","VfB Stuttgart",25,23,4,5
2011-03-05,"10/11",25,"Starke, Tom","Daems, Filip",1,"Tor",65,0,"TSG 1899 Hoffenheim","Borussia Mönchengladbach",30,32,7,10
2011-03-06,"10/11",25,"Wiese, Tim","Cissé, Papiss Demba",1,"Tor",49,1,"SV Werder Bremen","SC Freiburg",29,25,8,5
2011-03-12,"10/11",26,"Fährmann, Ralf","Jurado,",1,"Tor",45,0,"Eintracht Frankfurt","FC Schalke 04",22,24,2,5
2011-03-19,"10/11",27,"Kraft2, Thomas","Cissé, Papiss Demba",1,"gehalten",14,1,"FC Bayern München","SC Freiburg",22,25,0,5
2011-03-19,"10/11",27,"Schäfer1, Raphael","Wagner1, Sandro",2,"Tor",27,0,"1.FC Nürnberg","SV Werder Bremen",32,23,9,3
2011-03-19,"10/11",27,"Schäfer1, Raphael","Wagner1, Sandro",2,"Tor",89,-1,"1.FC Nürnberg","SV Werder Bremen",32,23,9,3
2011-03-19,"10/11",27,"Rensing, Michael","Zé Roberto,",1,"Tor",58,-4,"1.FC Köln","Hamburger SV",26,36,7,14
2011-03-19,"10/11",27,"Kessler2, Thomas","Gekas, Theofanis",1,"Tor",34,0,"FC St.Pauli","Eintracht Frankfurt",25,30,2,8
2011-03-19,"10/11",27,"Wetklo, Christian","Sahin, Nuri",1,"gehalten",19,-1,"1.FSV Mainz 05","Borussia Dortmund",31,22,6,5
2011-04-09,"10/11",29,"Weidenfeller, Roman","van Nistelrooy, Ruud",1,"Tor",39,0,"Borussia Dortmund","Hamburger SV",30,34,10,13
2011-04-09,"10/11",29,"Müller10, Heinz","Ya Konan, Didier",1,"Tor",45,0,"1.FSV Mainz 05","Hannover 96",32,26,7,4
2011-04-09,"10/11",29,"Baumann, Oliver","Ibisevic, Vedad",2,"Tor",34,1,"SC Freiburg","TSG 1899 Hoffenheim",20,26,1,6
2011-04-09,"10/11",29,"Starke, Tom","Cissé, Papiss Demba",1,"Tor",60,1,"TSG 1899 Hoffenheim","SC Freiburg",30,25,7,5
2011-04-09,"10/11",29,"Trapp2, Kevin","Kuzmanovic, Zdravko",1,"Tor",26,1,"1.FC Kaiserslautern","VfB Stuttgart",20,23,0,5
2011-04-09,"10/11",29,"Rensing, Michael","Daems, Filip",1,"Tor",65,-2,"1.FC Köln","Borussia Mönchengladbach",26,32,7,10
2011-04-16,"10/11",30,"Rensing, Michael","Kuzmanovic, Zdravko",2,"Tor",63,-1,"1.FC Köln","VfB Stuttgart",27,23,7,5
2011-04-16,"10/11",30,"Neuer, Manuel","Wagner1, Sandro",1,"gehalten",59,0,"FC Schalke 04","SV Werder Bremen",25,23,4,3
2011-04-23,"10/11",31,"Fährmann, Ralf","Gomez, Mario",2,"Tor",89,1,"Eintracht Frankfurt","FC Bayern München",22,25,2,7
2011-04-30,"10/11",32,"Starke, Tom","Kuzmanovic, Zdravko",2,"Tor",68,0,"TSG 1899 Hoffenheim","VfB Stuttgart",30,23,7,5
2011-05-07,"10/11",33,"Fährmann, Ralf","Podolski, Lukas",2,"Tor",90,-1,"Eintracht Frankfurt","1.FC Köln",22,26,2,7
2011-05-14,"10/11",34,"Trapp2, Kevin","Frings, Torsten",2,"gehalten",52,2,"1.FC Kaiserslautern","SV Werder Bremen",20,34,0,14
2011-05-14,"10/11",34,"Fährmann, Ralf","Barrios, Lucas",1,"gehalten",12,0,"Eintracht Frankfurt","Borussia Dortmund",22,26,2,2
2011-05-14,"10/11",34,"Fährmann, Ralf","Dédé",1,"gehalten",81,-1,"Eintracht Frankfurt","Borussia Dortmund",22,33,2,12
2011-05-14,"10/11",34,"Schäfer1, Raphael","Ya Konan, Didier",1,"Tor",78,-1,"1.FC Nürnberg","Hannover 96",32,27,9,4
2011-05-14,"10/11",34,"Kessler2, Thomas","Schürrle, André",1,"Tor",58,1,"FC St.Pauli","1.FSV Mainz 05",25,21,2,1
2011-08-06,"11/12",1,"Zieler, Ron-Robert","Salihovic, Sejad",2,"Tor",18,1,"Hannover 96","TSG 1899 Hoffenheim",22,26,1,7
2011-08-06,"11/12",1,"Starke, Tom","Abdellaoue, Mohammed",1,"Tor",30,0,"TSG 1899 Hoffenheim","Hannover 96",30,25,8,4
2011-08-13,"11/12",2,"Kraft2, Thomas","Petric, Mladen",1,"Tor",25,0,"Hertha BSC","Hamburger SV",23,30,1,10
2011-08-13,"11/12",2,"Schäfer1, Raphael","Rausch, Konstantin",2,"Tor",27,-1,"1.FC Nürnberg","Hannover 96",32,21,10,4
2011-08-13,"11/12",2,"Rensing, Michael","Huntelaar, Klaas-Jan",1,"Tor",42,1,"1.FC Köln","FC Schalke 04",27,28,8,9
2011-08-13,"11/12",2,"Ulreich, Sven","Daems, Filip",1,"Tor",67,0,"VfB Stuttgart","Borussia Mönchengladbach",23,32,4,11
2011-08-19,"11/12",3,"Benaglio, Diego","Daems, Filip",2,"Tor",32,0,"VfL Wolfsburg","Borussia Mönchengladbach",28,32,6,11
2011-08-20,"11/12",3,"Baumann, Oliver","Hunt, Aaron",1,"Tor",87,0,"SC Freiburg","SV Werder Bremen",21,25,2,7
2011-08-20,"11/12",3,"Starke, Tom","Mölders, Sascha",1,"gehalten",59,1,"TSG 1899 Hoffenheim","FC Augsburg",30,26,8,4
2011-08-20,"11/12",3,"Jentzsch, Simon","Salihovic, Sejad",2,"Tor",75,-1,"FC Augsburg","TSG 1899 Hoffenheim",35,26,14,7
