feature,coef
sq_end_0_7,-2.499175526097002
sq_end_0_0,-2.363903640435439
sq_end_1_7,-1.4470469417473508
sq_end_11_5,-1.2492309504151382
sq_end_11_7,-1.1948732117995826
high_pass,-1.1870462975002096
sq_end_1_0,-1.1823068423538945
sq_end_11_0,-1.1453847796750947
sq_end_11_2,-1.0721325528113996
sq_end_11_1,-0.9172307386463721
sq_end_11_6,-0.9061819102154597
sq_end_11_4,-0.7895982035015718
cross,-0.7837681359162942
sq_end_2_7,-0.6900863744664234
sq_end_11_3,-0.6813706760864368
sq_end_2_0,-0.642025104039358
switch,-0.6302078746333323
very_long_pass,-0.605105386490527
sq_start_0_1,-0.5471277122219008
sq_end_10_0,-0.545996178303893
sq_start_0_2,-0.5349263204950383
sq_end_10_7,-0.5087346842058454
under_pressure,-0.49150491284568915
sq_start_0_6,-0.4655390967257525
sq_end_3_7,-0.445683042116179
pp_From Goal Kick,-0.4396766818884342
sq_end_10_5,-0.41464079852156144
sq_end_9_7,-0.36681215048516735
sq_start_1_1,-0.36248772255505674
sq_end_0_6,-0.3607632634543752
sq_start_0_5,-0.3500458465057866
sq_end_3_0,-0.3497338495258732
pp_From Kick Off,-0.3155646435142571
sq_start_11_2,-0.31412787325252123
through_ball,-0.2871100928746878
sq_start_3_3,-0.2861385412936413
long_under_pressure,-0.28606383107031136
sq_start_1_2,-0.28016560770262383
sq_end_10_4,-0.2800685510740162
sq_start_2_4,-0.2777797444555278
sq_end_9_0,-0.2731552732515374
sq_start_6_3,-0.24827857484987334
sq_start_6_2,-0.24695895968487525
sq_start_11_5,-0.24567936469500767
sq_end_0_1,-0.24450290750941042
pp_Other,-0.23829801051891103
sq_end_8_7,-0.2333640708486
sq_start_2_3,-0.2189444656885751
sq_start_2_2,-0.2071723536755405
pp_From Keeper,-0.20577630406048356
sq_end_10_2,-0.19885563981873938
sq_end_10_1,-0.19625351735624064
sq_start_7_3,-0.19183105943273698
sq_start_3_4,-0.19105265885382228
sq_start_3_1,-0.18909203393001164
sq_end_5_7,-0.1839243391870699
sq_end_4_7,-0.1823790878723826
sq_start_5_4,-0.18074868673900446
sq_start_11_1,-0.1806059888598014
sq_end_10_3,-0.180045283945024
sq_end_10_6,-0.17068845571224953
sq_start_6_1,-0.16923957239056794
sq_start_5_1,-0.1689895619400575
sq_end_8_0,-0.1683234051770543
sq_start_6_6,-0.16347135848367583
sq_start_6_5,-0.15941417546566905
sq_start_2_1,-0.1575276725939038
sq_start_8_3,-0.15389854834678096
sq_start_7_4,-0.1505578136908392
sq_start_1_0,-0.1489682534472388
sq_start_4_2,-0.1488620366920606
sq_start_4_3,-0.14671016821904886
sq_start_3_0,-0.1461198777717836
sq_start_4_4,-0.13906463635433577
sq_start_0_0,-0.13208016422712593
sq_start_1_6,-0.13205487094074056
sq_start_5_2,-0.12982508171064544
pp_From Free Kick,-0.12513893656111802
sq_end_4_0,-0.1228194089878557
sq_start_1_5,-0.12019021892471474
sq_start_7_2,-0.11677857117718825
sq_start_7_5,-0.10942113168902844
sq_end_7_7,-0.10521249993719506
central_progressive,-0.10364222427675546
sq_start_5_5,-0.10154695280563798
sq_end_9_5,-0.09851121584988437
sq_end_5_0,-0.09735220486283648
sq_start_4_1,-0.09711092411451178
progression,-0.09558058700407733
sq_start_6_4,-0.09289997944674461
sq_start_4_0,-0.08763469715183864
sq_start_4_5,-0.08610687310037536
sq_end_9_2,-0.08384283175058932
sq_start_4_6,-0.08369228510764189
sq_start_0_7,-0.07818327771370563
sq_start_3_2,-0.07770983955493145
sq_start_11_4,-0.07709702846198543
pp_From Throw In,-0.0718571125176331
sq_end_9_4,-0.06246061368334988
sq_start_11_6,-0.058244101019855284
sq_start_9_3,-0.058030551209510575
sq_start_2_0,-0.05686407047635407
sq_end_9_6,-0.05652396223991658
sq_start_10_2,-0.05563399512933516
