feature,coef
sq_start_8_2,-0.05377832059532183
sq_start_5_6,-0.051025235558722404
sq_start_2_5,-0.05096923717780805
sq_end_7_0,-0.04656305405491581
sq_start_1_7,-0.04146445280931879
sq_start_3_5,-0.034277627309883714
sq_end_9_3,-0.03416074006854944
sq_start_2_7,-0.03225056379458199
sq_end_6_7,-0.030641282499921627
sq_start_3_7,-0.027900593302021486
sq_start_2_6,-0.023024829443422243
sq_start_8_4,-0.011472997144627229
sq_start_3_6,-0.0076797497918283724
sq_start_5_0,-0.005031772106308771
sq_start_5_3,-0.004924317064862647
sq_start_6_0,-0.004483417501306044
sq_end_9_1,-0.0009876162542794716
sq_start_4_7,0.006369316270465196
sq_start_7_1,0.007512206656420529
sq_start_10_5,0.011607657595426873
sq_start_1_3,0.013291192723119058
start_dist_goal,0.01381545297700373
sq_start_6_7,0.035476647982885495
sq_start_9_4,0.03895833820465068
sq_end_6_0,0.04622167193041757
sq_start_8_5,0.05350425866254291
sq_end_8_1,0.0576646521861258
sq_start_7_6,0.06000270761701394
sq_end_8_6,0.06567803801813053
pass_distance,0.06912041943388213
sq_start_5_7,0.0728049046472766
sq_start_1_4,0.07916611987066154
sq_start_10_4,0.08917038196295435
sq_end_1_1,0.09026698424746554
sq_end_8_5,0.09175886092814016
sq_start_9_2,0.09324424829390801
sq_start_9_5,0.10937915736134143
sq_end_7_6,0.11836192721768608
sq_start_11_3,0.13098847577399292
sq_start_10_6,0.13832155210272742
pp_Regular Play,0.1422642914832254
sq_end_3_6,0.143534255023951
sq_end_8_2,0.15632405344490288
sq_end_8_3,0.1603149367023658
sq_start_10_1,0.16980621157099995
sq_start_10_3,0.18275715999778325
sq_end_5_6,0.19135616406124567
sq_start_8_6,0.19746124402984225
sq_start_8_1,0.2069780380066252
sq_end_7_1,0.2242419549710439
sq_end_8_4,0.2262306547084371
sq_end_0_5,0.24292744256701432
sq_end_5_1,0.24471797672676132
sq_end_1_6,0.2477471214109348
sq_start_0_3,0.24854454921054472
sq_end_3_1,0.24912354004035384
progressive_opp_half,0.25276271463759625
sq_start_7_0,0.25767200457385303
sq_start_7_7,0.26547669618970166
sq_end_4_6,0.2708901698298807
sq_end_7_2,0.274336962066721
sq_end_6_6,0.3008525313314031
sq_end_2_1,0.3128561025974377
sq_start_0_4,0.31343677696377353
sq_end_7_3,0.3215695080349922
sq_start_9_1,0.3219768447843399
sq_end_6_1,0.32401982354925735
sq_end_7_5,0.32903386535315104
sq_start_9_6,0.3290980682959677
sq_end_4_1,0.3505748226122113
sq_end_7_4,0.392906118625424
sq_end_0_2,0.4083086408541473
sq_end_2_6,0.4227902194138146
sq_end_5_5,0.4247785998726039
sq_end_4_2,0.43775314664171544
sq_end_6_2,0.45936542808695086
sq_end_3_5,0.46193575795340547
sq_end_6_5,0.47381406142833415
sq_end_6_4,0.4770289175787298
sq_start_8_0,0.49008379282635894
cross_under_pressure,0.4926702604262643
sq_end_6_3,0.5091871430847832
sq_start_8_7,0.5127601069956141
sq_end_3_4,0.5156092511933319
sq_end_4_5,0.5416034612408174
sq_end_5_3,0.5438354211473367
sq_end_3_2,0.5533896836684418
sq_end_4_4,0.5549044401879455
sq_end_5_2,0.5615798824160282
sq_end_4_3,0.5764265062862196
sq_end_5_4,0.5850560975979072
sq_end_3_3,0.6068765509083176
sq_end_2_4,0.6653254340444971
sq_end_1_5,0.7333835908596454
sq_end_1_4,0.7705326426286245
sq_start_9_7,0.78197115544446
sq_end_2_5,0.7972602781873805
sq_end_1_3,0.7983853527077901
sq_end_2_2,0.8185137772020427
sq_start_9_0,0.8255066514626865
sq_end_2_3,0.8622491113438306
sq_start_11_0,0.8840261573322269
sq_start_11_7,0.8927954270364946
sq_end_1_2,0.9216381046082768
sq_start_10_7,0.9270357497706212
sq_start_10_0,0.9628549937150236
sq_end_0_4,0.975368141171336
sq_end_0_3,1.1722623797004323
pp_From Counter,1.2919860102292198
